unique_id,name,region,city,facility_type,facility_tier_label,latitude,longitude,region_mds,region_desert_label,service_gap_score,facility_integrity_risk,access_bonus,facility_desert_overlay,facility_desert_label,has_emergency_medicine,has_surgery,has_obstetrics,has_icu,has_radiology,has_infectious_disease,has_mental_health,has_pediatrics,ghost_probability_score,total_stat_anomalies,capability_is_valid,data_completeness_score,rag_quality_score,emergency_readiness_score,critical_care_score,accepts_volunteers,is_ngo,is_hospital,is_clinic,doctors,beds,schema_version
85977613-810b-429f-887f-18b2dd7964dd,Salaga District Hospital,Savannah,Salaga,hospital,Secondary,8.55,-0.5167,0.8736,Severe Desert,1.0,0.5095,0.036,0.8596,Severe Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.431,0.24,0.0,0.0,False,False,True,False,0,0,v12
c58a4b6f-a843-44dd-9951-cbb61c5952ba,Bole Hospital,Savannah,Bole,hospital,Secondary,9.0167,-2.4833,0.8736,Severe Desert,1.0,0.5095,0.036,0.8596,Severe Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.431,0.24,0.0,0.0,False,False,True,False,0,0,v12
b732ab2c-4257-483a-8890-c9d4c606d909,St. Lucas Catholic Hospital,Upper East,Wiaga,hospital,Secondary,10.78,-1.05,0.8433,Severe Desert,1.0,0.6073,0.069,0.8559,Severe Desert,False,False,False,False,False,False,False,False,0.76,1,False,0.3235,0.46,0.0,0.0,False,False,True,False,0,0,v12
26921090-d867-4ad9-9228-310b654e02a5,Tindonsobligo Clinic,Upper East,Bolgatanga,hospital,Secondary,10.7861,-0.8522,0.8433,Severe Desert,1.0,0.5095,0.0465,0.8434,Severe Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.391,0.31,0.0,0.0,False,False,True,False,0,0,v12
4e270db4-7d91-4fc0-96d1-89a0f4244d51,Wipe-Away Foundation,Savannah,Damongo,,Other,9.0833,-1.8167,0.8736,Severe Desert,1.0,0.4125,0.107,0.838,Severe Desert,False,False,False,False,False,False,False,False,0.4,0,False,0.6035,0.38,0.0,0.0,False,True,False,False,0,0,v12
52e97663-ba55-4fa4-b193-3c1a31663ad1,St. Anne’s Catholic Hospital,Savannah,Damongo,hospital,Secondary,9.0833,-1.8167,0.8736,Severe Desert,1.0,0.342,0.0615,0.832,Severe Desert,False,False,False,False,False,False,False,False,0.43,0,False,0.391,0.41,0.0,0.0,False,False,True,False,0,0,v12
97f9304f-5c8c-458d-af71-69c69c8a7cc1,Salifu Memorial Clinic,Upper East,Bawku,hospital,Secondary,11.0583,-0.2417,0.8433,Severe Desert,1.0,0.4375,0.054,0.8319,Severe Desert,False,False,False,False,False,False,False,False,0.4,0,False,0.5135,0.36,0.0,0.0,False,False,True,False,0,0,v12
e827a9e8-4ddc-4201-b961-3dd4908a269f,Presbyterian Community Based Rehabilitation,Upper East,Sandema,,Other,10.78,-1.05,0.8433,Severe Desert,1.0,0.315,0.1055,0.8084,Severe Desert,False,False,False,False,False,False,False,False,0.3,0,False,0.4235,0.37,0.0,0.0,False,True,False,False,0,0,v12
0e9926c2-0ecc-487f-b5a9-cfcdaa1260ad,AKOMADE CLINIC,Bono East,Atebubu,clinic,Primary/Clinic,7.75,-0.9833,0.6859,Moderate Desert,1.0,0.6965,0.036,0.7938,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.346,0.24,0.0,0.0,False,False,False,True,0,0,v12
3388b9e2-fe11-4797-83b0-79253a284645,Azimbe Hospital,Upper East,Bawku,hospital,Secondary,11.0583,-0.2417,0.8433,Severe Desert,1.0,0.159,0.075,0.788,Moderate Desert,False,False,False,False,False,False,False,False,0.21,0,False,0.586,0.5,0.0,0.0,False,False,True,False,0,0,v12
6506baa0-eb77-4da3-a2f5-401e2500baea,Sefwi Bekwai Health Centre,Western North,Sefwi Bekwai,clinic,Primary/Clinic,6.3833,-2.3833,0.6671,Moderate Desert,1.0,0.6965,0.036,0.7844,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.256,0.24,0.0,0.0,False,False,False,True,0,0,v12
a8dbd641-577e-4a0c-a037-7eca32aefcc6,Valley View Adventist Hospi,Bono East,Techiman,hospital,Secondary,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.5095,0.036,0.7658,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.431,0.24,0.0,0.0,False,False,True,False,0,0,v12
63a0bd41-0134-45bb-b2c3-5fea8be6815b,Wassa Akropong Government Hospital,Upper West,Manso Amenfi,hospital,Secondary,10.25,-2.32,0.605,Marginal,1.0,0.7748,0.054,0.7633,Moderate Desert,False,False,False,False,False,False,False,False,0.91,1,False,0.3235,0.36,0.0,0.0,False,False,True,False,0,0,v12
3e51344b-ee46-4d7e-9bba-3ed62c99cbb4,Doctore Opoku Hospital (Kumasi road),Bono East,Techiman,hospital,Secondary,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.5095,0.0645,0.7629,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.4135,0.43,0.0,0.0,False,False,True,False,0,0,v12
